                    all_hyponyms  predict_multiple_hypernyms      mean
MRR                          NaN                    0.421962  0.412815
MAP                          NaN                    0.198024  0.190087
P@1                          NaN                    0.380000  0.358000
P@3                          NaN                    0.210333  0.206000
P@5                          NaN                    0.196333  0.186633
P@15                         NaN                    0.161418  0.154163
EnrichCorrectedMRR           NaN                    0.110069  0.106892
EnrichOriginalMRR            NaN                    0.102725  0.099347
R@1                          NaN                    0.086251  0.078341
R@5                          NaN                    0.136949  0.128571
R@10                         NaN                    0.158542  0.151105
