                    all_hyponyms  predict_multiple_hypernyms      mean
MRR                          NaN                    0.376571  0.376571
MAP                          NaN                    0.212859  0.212859
P@1                          NaN                    0.322000  0.322000
P@3                          NaN                    0.201889  0.201889
P@5                          NaN                    0.192267  0.192267
P@15                         NaN                    0.210725  0.210725
EnrichCorrectedMRR           NaN                    0.133240  0.133240
EnrichOriginalMRR            NaN                    0.123630  0.123630
R@1                          NaN                    0.094248  0.094248
R@5                          NaN                    0.171808  0.171808
R@10                         NaN                    0.204150  0.204150
