                    all_hyponyms  predict_multiple_hypernyms      mean
MRR                          NaN                    0.308150  0.308150
MAP                          NaN                    0.203781  0.203781
P@1                          NaN                    0.207333  0.207333
P@3                          NaN                    0.177444  0.177444
P@5                          NaN                    0.183122  0.183122
P@15                         NaN                    0.229822  0.229822
EnrichCorrectedMRR           NaN                    0.112299  0.112299
EnrichOriginalMRR            NaN                    0.104258  0.104258
R@1                          NaN                    0.057879  0.057879
R@5                          NaN                    0.164867  0.164867
R@10                         NaN                    0.211415  0.211415
